#       point_x         point_y         point_z             U_x             U_y             U_z
           -196             -46             1.5               0            3.75               0
           -200             -46             1.5               0           6.875               0
           -200             -50             1.5               0       7.9166667               0
           -196             -50             1.5               0           6.875               0
           -192             -46             1.5               0            3.75               0
           -192             -50             1.5               0           6.875               0
           -188             -46             1.5               0            3.75               0
           -188             -50             1.5               0           6.875               0
     -183.99999             -46             1.5               0            3.75               0
     -183.99999             -50             1.5               0           6.875               0
     -179.99999             -46             1.5               0            3.75               0
     -179.99999             -50             1.5               0           6.875               0
     -175.99998             -46             1.5               0            3.75               0
     -175.99998             -50             1.5               0       6.8750007               0
     -171.99996             -46             1.5               0            3.75               0
     -171.99996             -50             1.5               0       6.8750007               0
     -167.99994             -46             1.5               0            3.75               0
     -167.99994             -50             1.5               0       6.8750001               0
      -163.9999      -45.999999             1.5               0            3.75               0
     -163.99991             -50             1.5               0       6.8750008               0
     -159.99984      -45.999999             1.5               0            3.75               0
     -159.99986             -50             1.5               0       6.8750016               0
     -155.99976      -45.999998             1.5               0            3.75               0
     -155.99978             -50             1.5               0       6.8750024               0
     -151.99964      -45.999996             1.5               0            3.75               0
     -151.99967             -50             1.5               0       6.8750035               0
     -147.99946      -45.999993             1.5               0            3.75               0
     -147.99951             -50             1.5               0       6.8750047               0
     -143.99921      -45.999989             1.5               0            3.75               0
     -143.99929             -50             1.5               0       6.8750076               0
     -139.99887      -45.999982             1.5               0            3.75               0
     -139.99899             -50             1.5               0        6.875011               0
     -135.99843       -45.99997             1.5               0            3.75               0
     -135.99859             -50             1.5               0       6.8750147               0
     -131.99786      -45.999952             1.5               0            3.75               0
     -131.99808             -50             1.5               0       6.8750211               0
     -127.99714      -45.999925             1.5               0            3.75               0
     -127.99745             -50             1.5               0       6.8750301               0
     -123.99627      -45.999882             1.5               0            3.75               0
     -123.99669             -50             1.5               0       6.8750421               0
     -119.99527      -45.999819             1.5               0            3.75               0
     -119.99582             -50             1.5               0       6.8750583               0
     -115.99415      -45.999727             1.5               0            3.75               0
     -115.99484             -50             1.5               0       6.8750792               0
     -111.99296      -45.999592             1.5               0            3.75               0
     -111.99382             -50             1.5               0        6.875107               0
     -107.99178      -45.999404             1.5               0            3.75               0
     -107.99281             -50             1.5               0       6.8751445               0
     -103.99068      -45.999142             1.5               0            3.75               0
     -103.99188             -50             1.5               0        6.875194               0
     -99.989775       -45.99879             1.5               0       3.7500001               0
     -99.991106             -50             1.5               0        6.875259               0
     -95.989157      -45.998328             1.5               0       3.7500001               0
     -95.990578             -50             1.5               0       6.8753432               0
     -91.988903      -45.997743             1.5               0       3.7500001               0
     -91.990357             -50             1.5               0       6.8754493               0
     -87.989062      -45.997029             1.5               0       3.7500001               0
      -87.99048             -50             1.5               0       6.8755791               0
     -83.989635      -45.996198             1.5               0       3.7500001               0
     -83.990952             -50             1.5               0       6.8757311               0
     -79.990581      -45.995285             1.5               0       3.7500002               0
     -79.991741             -50             1.5               0       6.8758993               0
     -75.991821      -45.994355             1.5               0       3.7500002               0
     -75.992789             -50             1.5               0        6.876072               0
     -71.993257      -45.993492             1.5               0       3.7500002               0
     -71.994014             -50             1.5               0       6.8762327               0
     -67.994786      -45.992799             1.5               0       3.7500002               0
     -67.995333             -50             1.5               0        6.876363               0
     -63.996313      -45.992372             1.5               0       3.7500002               0
     -63.996667             -50             1.5               0       6.8764448               0
     -59.997768      -45.992275             1.5               0       3.7500001               0
     -59.997952             -50             1.5               0       6.8764657               0
     -55.999104      -45.992526             1.5               0       3.7500001               0
     -55.999141             -50             1.5               0       6.8764221               0
      -52.00029      -45.993086             1.5               0            3.75               0
     -52.000199             -50             1.5               0       6.8763208               0
     -48.001304      -45.993873             1.5               0       3.7499999               0
     -48.001105             -50             1.5               0       6.8761764               0
     -44.002128      -45.994785             1.5               0       3.7499998               0
     -44.001841             -50             1.5               0       6.8760075               0
      -40.00275      -45.995722             1.5               0       3.7499997               0
     -40.002395             -50             1.5               0       6.8758324               0
     -36.003164      -45.996609             1.5               0       3.7499997               0
     -36.002764             -50             1.5               0       6.8756657               0
      -32.00337      -45.997391             1.5               0       3.7499996               0
      -32.00295             -50             1.5               0       6.8755174               0
     -28.003379      -45.998046             1.5               0       3.7499996               0
     -28.002963             -50             1.5               0       6.8753929               0
     -24.003211      -45.998569             1.5               0       3.7499996               0
     -24.002821             -50             1.5               0       6.8752927               0
     -20.002893       -45.99897             1.5               0       3.7499997               0
     -20.002547             -50             1.5               0       6.8752153               0
     -16.002456      -45.999266             1.5               0       3.7499997               0
     -16.002165             -50             1.5               0        6.875158               0
     -12.001928      -45.999475             1.5               0       3.7499997               0
     -12.001702             -50             1.5               0       6.8751173               0
     -8.0013319      -45.999612             1.5               0       3.7499998               0
