#       point_x         point_y         point_z             U_x             U_y             U_z
           -196             -46             1.5               0            3.75               0
           -200             -46             1.5               0           6.875               0
           -200             -50             1.5               0       7.9166667               0
           -196             -50             1.5               0           6.875               0
           -192             -46             1.5               0            3.75               0
           -192             -50             1.5               0           6.875               0
           -188             -46             1.5               0            3.75               0
           -188             -50             1.5               0           6.875               0
           -184             -46             1.5               0            3.75               0
           -184             -50             1.5               0           6.875               0
           -180             -46             1.5               0            3.75               0
           -180             -50             1.5               0           6.875               0
           -176             -46             1.5               0            3.75               0
           -176             -50             1.5               0           6.875               0
           -172             -46             1.5               0            3.75               0
           -172             -50             1.5               0           6.875               0
           -168             -46             1.5               0            3.75               0
           -168             -50             1.5               0       6.8750007               0
     -163.99999             -46             1.5               0            3.75               0
           -164             -50             1.5               0           6.875               0
     -159.99999             -46             1.5               0            3.75               0
     -159.99999             -50             1.5               0       6.8749993               0
     -155.99999             -46             1.5               0            3.75               0
     -155.99999             -50             1.5               0           6.875               0
     -151.99998             -46             1.5               0            3.75               0
     -151.99998             -50             1.5               0           6.875               0
     -147.99997             -46             1.5               0            3.75               0
     -147.99997             -50             1.5               0           6.875               0
     -143.99995             -46             1.5               0            3.75               0
     -143.99995             -50             1.5               0       6.8750007               0
     -139.99992             -46             1.5               0            3.75               0
     -139.99993             -50             1.5               0       6.8750014               0
     -135.99988      -45.999999             1.5               0            3.75               0
      -135.9999             -50             1.5               0       6.8750009               0
     -131.99983      -45.999997             1.5               0            3.75               0
     -131.99985             -50             1.5               0       6.8750012               0
     -127.99977      -45.999995             1.5               0            3.75               0
     -127.99979             -50             1.5               0       6.8750025               0
     -123.99968       -45.99999             1.5               0       3.7499999               0
     -123.99971             -50             1.5               0        6.875004               0
     -119.99957      -45.999983             1.5               0       3.7499999               0
     -119.99962             -50             1.5               0       6.8750062               0
     -115.99944      -45.999971             1.5               0       3.7499999               0
     -115.99951             -50             1.5               0       6.8750087               0
     -111.99929      -45.999951             1.5               0       3.7499998               0
     -111.99938             -50             1.5               0       6.8750128               0
     -107.99913       -45.99992             1.5               0       3.7499998               0
     -107.99924             -50             1.5               0       6.8750197               0
     -103.99897      -45.999874             1.5               0       3.7499997               0
     -103.99911             -50             1.5               0       6.8750297               0
     -99.998827      -45.999806             1.5               0       3.7499996               0
     -99.998994             -50             1.5               0       6.8750431               0
     -95.998727      -45.999707             1.5               0       3.7499995               0
      -95.99892             -50             1.5               0        6.875062               0
     -91.998699      -45.999567             1.5               0       3.7499994               0
      -91.99891             -50             1.5               0       6.8750886               0
     -87.998776      -45.999375             1.5               0       3.7499994               0
     -87.998993             -50             1.5               0       6.8751247               0
     -83.998989      -45.999119             1.5               0       3.7499993               0
     -83.999192             -50             1.5               0       6.8751725               0
     -79.999358      -45.998791             1.5               0       3.7499993               0
     -79.999527             -50             1.5               0       6.8752338               0
     -75.999896      -45.998385             1.5               0       3.7499993               0
     -76.000004             -50             1.5               0       6.8753092               0
     -72.000596      -45.997911             1.5               0       3.7499993               0
      -72.00062             -50             1.5               0       6.8753978               0
     -68.001437      -45.997388             1.5               0       3.7499993               0
     -68.001357             -50             1.5               0        6.875495               0
     -64.002388      -45.996859             1.5               0       3.7499995               0
     -64.002188             -50             1.5               0       6.8755934               0
       -60.0034      -45.996379             1.5               0       3.7499996               0
     -60.003071             -50             1.5               0       6.8756824               0
     -56.004429      -45.996008             1.5               0       3.7499997               0
     -56.003965             -50             1.5               0       6.8757512               0
     -52.005413      -45.995799             1.5               0       3.7499998               0
     -52.004814             -50             1.5               0       6.8757912               0
     -48.006285      -45.995779             1.5               0            3.75               0
     -48.005562             -50             1.5               0       6.8757975               0
     -44.006981      -45.995943             1.5               0            3.75               0
     -44.006151             -50             1.5               0       6.8757714               0
     -40.007444      -45.996258             1.5               0       3.7500001               0
     -40.006538             -50             1.5               0        6.875718               0
     -36.007634      -45.996675             1.5               0       3.7500001               0
      -36.00669             -50             1.5               0       6.8756457               0
     -32.007533      -45.997142             1.5               0       3.7500001               0
     -32.006596             -50             1.5               0       6.8755634               0
     -28.007153      -45.997615             1.5               0       3.7500001               0
     -28.006263             -50             1.5               0       6.8754787               0
     -24.006527      -45.998059             1.5               0       3.7500001               0
      -24.00572             -50             1.5               0        6.875398               0
     -20.005702      -45.998451             1.5               0       3.7500001               0
     -20.005004             -50             1.5               0       6.8753254               0
     -16.004727      -45.998777             1.5               0       3.7500001               0
     -16.004155             -50             1.5               0       6.8752641               0
     -12.003645      -45.999032             1.5               0       3.7500001               0
     -12.003208             -50             1.5               0       6.8752156               0
     -8.0024874      -45.999216             1.5               0       3.7500001               0
     -8.0021916             -50             1.5               0       6.8751805               0
     -4.0012709      -45.999327             1.5               0            3.75               0
